Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SCS01G02142,2015.06,4731,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2016.06,5157,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2017.06,5425,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2018.06,5417,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2019.06,5859,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2020.06,5794,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2021.06,5499,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2022.06,5683,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2023.06,6196,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2024.06,6861,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2025.06,7171,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02143,2009.06,1360,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2010.06,1649,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2011.06,1622,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2012.06,1209,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2013.06,1561,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2014.06,1579,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2015.06,2151,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2016.06,1809,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2017.06,2081,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2018.06,2151,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2019.06,2108,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2020.06,1686,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2021.06,1672,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2022.06,1890,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2023.06,2007,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2024.06,2911,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02143,2025.06,2390,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SCS01G02144,2009.06,2083,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2010.06,1716,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2011.06,2032,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2012.06,2103,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2013.06,2115,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2014.06,2459,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2015.06,2567,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2016.06,2397,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2017.06,2330,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2018.06,2279,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2019.06,2134,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2020.06,1764,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2021.06,1456,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2022.06,1782,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2023.06,3631,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2024.06,4884,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02144,2025.06,5208,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SCS01G02981,2009.06,172,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2010.06,164,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2011.06,174,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2012.06,174,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2013.06,185,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2014.06,214,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2015.06,238,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2016.06,285,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2017.06,253,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2018.06,289,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2019.06,315,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2020.06,333,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2021.06,339,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2022.06,362,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2023.06,381,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2024.06,414,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02981,2025.06,441,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SCS01G02982,2009.06,1689,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2010.06,1871,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2011.06,1965,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2012.06,1930,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2013.06,2070,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2014.06,2035,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2015.06,1820,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2016.06,1704,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2017.06,1842,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2018.06,2029,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2019.06,2163,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2020.06,2308,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2021.06,2218,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2022.06,2101,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2023.06,2403,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2024.06,2601,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02982,2025.06,2286,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SCS01G02991,2009.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2010.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2011.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2012.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2013.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2014.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2015.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2016.06,99,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2017.06,75,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
